City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cabo San Lucas,MX,85.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
7,Hermanus,ZA,70.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Hamilton,US,69.73,heavy intensity rain,39.1834,-84.5333,Six Acres Bed & Breakfast
10,Kapaa,US,74.19,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Campos Altos,BR,70.47,overcast clouds,-19.6961,-46.1714,Hotel São José
18,Camacha,PT,60.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
20,Santa Rosa,PH,83.08,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
21,Castro,BR,73.8,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
25,Port Alfred,ZA,74.16,overcast clouds,-33.5906,26.891,The Halyards Hotel
26,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
27,La Libertad,EC,83.86,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
28,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
29,Tambura,SS,78.28,overcast clouds,5.6,27.4667,Rikito Lodge
31,Alyangula,AU,73.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
32,Kudahuvadhoo,MV,82.9,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
33,Keller,US,62.01,few clouds,32.9346,-97.2517,Tiny Home Getaway on Urban Farm
34,Maragogi,BR,81.46,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
35,San Patricio,US,71.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
37,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
38,Vanimo,PG,77.54,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
41,Marsh Harbour,BS,77.36,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
44,Tura,IN,75.31,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
47,Chuy,UY,79.16,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
49,Rikitea,PF,79.65,scattered clouds,-23.1203,-134.9692,People ThankYou
51,Kavieng,PG,81.16,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
52,Akyab,MM,77.34,scattered clouds,20.15,92.9,Hotel Memory
57,Dingle,PH,76.44,clear sky,10.9995,122.6711,SEGAYA PROPERTY
61,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
62,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
64,Touros,BR,84.72,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
67,Destin,US,76.77,overcast clouds,30.3935,-86.4958,The Inn on Destin Harbor
69,Bredasdorp,ZA,68.88,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
71,Liverpool,GB,60.3,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
72,Moyale,KE,78.49,broken clouds,3.5167,39.0584,La Tahzan Guest House
78,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,Chabahar,IR,76.66,clear sky,25.2919,60.643,هتل گدروشیا
83,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
84,Trimbak,IN,76.8,broken clouds,19.9333,73.55,OYO 4192 Sai Krupa Hotel
87,Danville,US,62.44,overcast clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
92,Sangmelima,CM,77.25,broken clouds,2.9333,11.9833,gamestar hotel
94,Guerrero Negro,MX,80.37,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
99,Xaxim,BR,64.78,moderate rain,-26.9617,-52.5347,Hotel São Luiz
100,Victoria,HK,63.95,overcast clouds,22.2855,114.1577,Mini Hotel Central
101,Kieta,PG,77.16,light rain,-6.2167,155.6333,Uruna Bay Retreat
102,Atuona,PF,78.8,light rain,-9.8,-139.0333,Villa Enata
103,Gambela,ET,87.19,clear sky,8.25,34.5833,Solomon Debebe Hotel
106,Garowe,SO,79.11,broken clouds,8.4054,48.4845,Curubo Hotel
107,Port Elizabeth,ZA,66.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
110,Lorengau,PG,81.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
111,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
113,Rafsanjan,IR,68.61,overcast clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
114,Praia Da Vitoria,PT,62.85,broken clouds,38.7333,-27.0667,Hotel Branco I
116,Sayyan,YE,63.48,clear sky,15.1718,44.3244,ملاطف ابوحورية
117,Mar Del Plata,AR,71.62,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
118,Bathurst,AU,62.83,light rain,-33.4166,149.5806,Bathurst Motor Inn
119,Puerto Ayora,EC,85.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
120,San Pedro,PH,82.31,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
121,Phalodi,IN,79.92,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
126,Butaritari,KI,79.7,light rain,3.0707,172.7902,Isles Sunset Lodge
128,Maputo,MZ,77.23,clear sky,-25.9653,32.5892,Pestana Rovuma
130,Vao,NC,76.91,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
132,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
133,Charters Towers,AU,68.11,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
134,Santa Fe,AR,79.92,overcast clouds,-31.6333,-60.7,Conquistador Hotel
135,Hobyo,SO,80.65,clear sky,5.3505,48.5268,Iftin hotel hobyo
137,Hithadhoo,MV,83.64,clear sky,-0.6,73.0833,Scoop Guest House
141,Agua Dulce,MX,73.18,overcast clouds,18.1333,-94.1333,Hotel Victoria
143,Hilo,US,74.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
